Date,Open,High,Low,Close,Adj Close,Volume,Day
5/26/2017,141,141.279999,140.809998,141.220001,134.897049,13851600,926
5/30/2017,141.149994,141.509995,141.059998,141.339996,135.011642,20306400,927
5/31/2017,141.839996,141.839996,140.570007,141.289993,134.963867,33229400,928
6/1/2017,141.580002,141.899994,140.979996,141.839996,135.489273,20120700,929
6/2/2017,142.339996,143.490005,142.110001,143.460007,137.036743,37222900,930
6/5/2017,143.449997,143.679993,143.229996,143.429993,137.008041,15727500,931
6/6/2017,143.259995,143.729996,142.649994,142.860001,136.463608,22393000,932
6/7/2017,143.259995,143.539993,142.600006,143.419998,136.998535,18842400,933
6/8/2017,143.740005,143.800003,142.789993,143.570007,137.141815,25417400,934
6/9/2017,143.740005,143.899994,138.110001,139.979996,133.712555,109783700,935
6/12/2017,138.800003,139.479996,137.470001,139.229996,132.99614,104454000,936
6/13/2017,140.009995,140.559998,139.279999,140.360001,134.075562,51193000,937
6/14/2017,140.929993,140.929993,138.619995,139.75,133.492874,60093800,938
6/15/2017,138.339996,139.279999,137.490005,139.130005,132.900635,55145200,939
6/16/2017,138.679993,138.779999,137.639999,138.149994,132.324005,48087400,940
6/19/2017,139.490005,140.589996,139.279999,140.460007,134.536606,39626500,941
6/20/2017,140.320007,140.5,139.309998,139.360001,133.482971,40935100,942
6/21/2017,139.679993,140.809998,139.589996,140.740005,134.804779,35743400,943
6/22/2017,140.960007,141.220001,140.339996,140.699997,134.766464,24099100,944
6/23/2017,140.539993,141.419998,140.149994,141.240005,135.283707,21654300,945
6/26/2017,142.050003,142.289993,140.270004,140.580002,134.651535,34411100,946
6/27/2017,140.050003,140.220001,138.020004,138.029999,132.20903,65957800,947
6/28/2017,138.539993,140.139999,137.740005,140.020004,134.115128,57427200,948
6/29/2017,139.440002,139.440002,136.25,137.589996,131.787598,88769400,949
6/30/2017,137.979996,138.669998,137.190002,137.639999,131.83551,68898300,950
7/3/2017,138.270004,138.429993,136.100006,136.190002,130.446655,32797000,951
7/5/2017,136.619995,137.899994,136.160004,137.529999,131.730148,42116600,952
7/6/2017,136.479996,137.059998,135.800003,136.289993,130.542435,48430500,953
7/7/2017,136.75,138.130005,136.740005,137.759995,131.950455,36970400,954
7/10/2017,137.850006,138.990005,137.5,138.660004,132.812469,24853500,955
7/11/2017,138.460007,139.220001,137.940002,139.050003,133.186066,31517700,956
7/12/2017,140.240005,140.860001,139.960007,140.699997,134.766464,36045800,957
7/13/2017,140.869995,141.350006,140.600006,141.009995,135.0634,31073600,958
7/14/2017,141.639999,142.300003,141.190002,142.119995,136.126587,34544800,959
7/17/2017,142.270004,142.690002,141.919998,142.190002,136.193665,25343200,960
7/18/2017,142.089996,143.169998,141.639999,143.139999,137.103577,25748500,961
7/19/2017,143.559998,144.190002,143.5,143.979996,137.908157,33752300,962
7/20/2017,144.350006,144.440002,143.520004,144.169998,138.090118,36139400,963
7/21/2017,143.639999,144.110001,143.350006,144.110001,138.032623,39697100,964
